module,type,name,res_id,src,value,comments
account,model,"ir.model.fields,help",account.field_account_tax__amount_type,"
    - Group of Taxes: The tax is a set of sub taxes.
    - Fixed: The tax amount stays the same whatever the price.
    - Percentage of Price: The tax amount is a % of the price:
        e.g 100 * 10% = 110 (not price included)
        e.g 110 / (1 + 10%) = 100 (price included)
    - Percentage of Price Tax Included: The tax amount is a division of the price:
        e.g 180 / (1 - 10%) = 200 (not price included)
        e.g 200 * (1 - 10%) = 180 (price included)
        ",,
account,model,"ir.model.fields,field_description",account.field_account_chart_template__code_digits,# of Digits,,
account,model,"ir.model.fields,field_description",account.field_account_cashbox_line__number,#Coins/Bills,,
account,model,"mail.template,report_name",account.mail_template_data_payment_receipt,"${(object.name or '').replace('/','-')}",,
account,model,"mail.template,subject",account.email_template_edi_invoice,${object.company_id.name} Invoice (Ref ${object.name or 'n/a'}),,
account,model,"mail.template,subject",account.mail_template_data_payment_receipt,${object.company_id.name} Payment Receipt (Ref ${object.name or 'n/a' }),,
account,code,addons/account/models/account.py,1395,%s (Copy),,
account,code,addons/account/models/account.py,480,%s (copy),,
account,code,addons/account/models/account.py,484,%s (copy),,
account,code,addons/account/models/account.py,486,%s (copy),,
account,code,addons/account/models/account.py,924,%s (copy),,
account,code,addons/account/models/account.py,925,%s (copy),,
account,code,addons/account/models/account_move.py,765,%s (rounding),,
account,code,addons/account/models/account.py,1023,%s Sequence,,
account,model,"ir.actions.report,print_report_name",account.account_invoices,(object._get_report_base_filename()),,
account,model,"ir.actions.report,print_report_name",account.account_invoices_without_payment,(object._get_report_base_filename()),,
account,model_terms,"ir.ui.view,arch_db",account.view_account_form,-> Reconcile,,
account,model_terms,"ir.ui.view,arch_db",account.view_move_line_form,-> View partially reconciled entries,,
account,model,"account.payment.term,name",account.account_payment_term_15days,15 Days,,
account,model,"account.payment.term,name",account.account_payment_term_2months,2 Months,,
account,model,"account.payment.term,name",account.account_payment_term_21days,21 Days,,
account,model,"account.payment.term,name",account.account_payment_term_30days,30 Days,,
account,model,"account.payment.term,name",account.account_payment_term_advance_60days,"30% Now, Balance 60 Days",,
account,model,"account.payment.term,name",account.account_payment_term_45days,45 Days,,
account,code,addons/account/models/account.py,1021,: Refund,,
account,model,"mail.template,body_html",account.mail_template_data_payment_receipt,"<?xml version=""1.0""?>
<div style=""margin: 0px; padding: 0px;"">
    <p style=""margin: 0px; padding: 0px; font-size: 13px;"">
        Dear ${object.partner_id.name}<br/><br/>
        Thank you for your payment.
        Here is your payment receipt <strong>${(object.name or '').replace('/','-')}</strong> amounting
        to <strong>${format_amount(object.amount, object.currency_id)}</strong> from ${object.company_id.name}.
        <br/><br/>
        Do not hesitate to contact us if you have any questions.
        <br/><br/>
        Best regards,<br/>
        % if user and user.signature:
        ${user.signature | safe}
        % endif
    </p>
</div>
",,
